63884 [main] DEBUG MorseCodeTranslator  - Beginning the sentence translation
63884 [main] DEBUG MorseCodeTranslator  - Sentencehello there.
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbolh ....
63884 [main] DEBUG MorseCodeTranslator  - translation.... 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbole .
63884 [main] DEBUG MorseCodeTranslator  - translation.... . 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. --- 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbol     
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbolt -
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbolh ....
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - .... 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbole .
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - .... . 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbolr .-.
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - .... . .-. 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbole .
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - .... . .-. . 
63884 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
63884 [main] DEBUG MorseCodeTranslator  - getSymbol. .-.-.-
63884 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     - .... . .-. . .-.-.- 
63884 [main] DEBUG MorseCodeTranslator  - Ended the sentence translation
80334 [main] DEBUG MorseCodeTranslator  - Beginning the sentence translation
80334 [main] DEBUG MorseCodeTranslator  - Sentencehello world.
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbolh ....
80334 [main] DEBUG MorseCodeTranslator  - translation.... 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbole .
80334 [main] DEBUG MorseCodeTranslator  - translation.... . 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymboll .-..
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. --- 
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbol     
80334 [main] DEBUG MorseCodeTranslator  - translation.... . .-.. .-.. ---     
80334 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
80334 [main] DEBUG MorseCodeTranslator  - getSymbolw .--
